"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will creat categories","SUCCESS","2022-06-20T18:04:48.535+01:00[Europe/London]","0.0","5.64"
"Categories curd info","This will fatch single category","SUCCESS","2022-06-20T18:04:54.214+01:00[Europe/London]","0.0","0.08"
"Categories curd info","This will update category","SUCCESS","2022-06-20T18:04:54.296+01:00[Europe/London]","0.0","0.11"
"Categories curd info","This will delete category","SUCCESS","2022-06-20T18:04:54.405+01:00[Europe/London]","0.0","0.3"
"Product curd test","this will creat new product ","SUCCESS","2022-06-20T18:04:56.866+01:00[Europe/London]","0.0","0.79"
"Product curd test","This will fatch the product by id ","SUCCESS","2022-06-20T18:04:57.656+01:00[Europe/London]","0.0","0.1"
"Product curd test","this will update  product ","SUCCESS","2022-06-20T18:04:57.760+01:00[Europe/London]","0.0","0.1"
"Product curd test","This will delete product ","SUCCESS","2022-06-20T18:04:57.863+01:00[Europe/London]","0.0","0.09"
"Service curd info","this will creat service0","SUCCESS","2022-06-20T18:04:58.182+01:00[Europe/London]","0.0","0.29"
"Service curd info","This will fath single service","SUCCESS","2022-06-20T18:04:58.475+01:00[Europe/London]","0.0","0.06"
"Service curd info","This will update service","SUCCESS","2022-06-20T18:04:58.533+01:00[Europe/London]","0.0","0.05"
"Service curd info","This will delete the service","SUCCESS","2022-06-20T18:04:58.584+01:00[Europe/London]","0.0","0.1"
"Store curd info","creat a store detail","SUCCESS","2022-06-20T18:04:58.819+01:00[Europe/London]","0.0","0.08"
"Store curd info","Get single store detail","SUCCESS","2022-06-20T18:04:58.902+01:00[Europe/London]","0.0","0.08"
"Store curd info","this will update store detail","SUCCESS","2022-06-20T18:04:58.986+01:00[Europe/London]","0.0","0.09"
"Store curd info","this will delet storedetail","SUCCESS","2022-06-20T18:04:59.077+01:00[Europe/London]","0.0","0.15"
